date,region,product,unit_price,units_sold,revenue
2023-12-22,North,Product E,47.06,35,1647.24
2023-08-06,South,Product D,17.13,22,376.91
2024-06-09,East,Product B,15.13,33,499.4
2024-03-29,North,Product B,15.32,50,766.04
2024-07-29,South,Product B,15.74,36,566.67
2023-08-22,South,Product B,16.11,16,257.77
2023-11-01,East,Product E,52.83,40,2113.31
2023-10-20,East,Product A,30.72,41,1259.66
2023-02-05,North,Product D,16.9,18,304.27
2023-07-25,West,Product C,17.15,19,325.8
2023-07-17,South,Product B,13.75,33,453.81
2024-09-11,West,Product D,16.37,30,491.08
2023-09-02,North,Product D,20.77,22,457.0
2023-07-07,North,Product C,36.84,36,1326.33
2024-02-03,North,Product A,26.78,8,214.22
2023-10-27,East,Product C,41.1,1,41.1
2024-12-31,East,Product D,24.19,20,483.71
2024-12-22,South,Product B,13.47,35,471.54
2023-06-03,East,Product B,16.7,23,384.03
2024-04-16,South,Product B,12.91,49,632.64
2023-04-02,West,Product B,16.67,39,650.27
2023-08-28,South,Product D,17.81,17,302.72
2023-09-06,North,Product B,17.17,45,772.82
2024-07-17,West,Product A,26.93,1,26.93
2024-03-08,West,Product B,15.21,47,714.9
2023-05-08,North,Product E,37.46,15,561.86
2023-09-08,West,Product B,37.1,48,1781.03
2024-01-10,South,Product A,23.87,37,883.14
2024-02-14,South,Product C,26.21,1,26.21
2023-11-24,South,Product C,42.0,25,1049.94
2023-05-05,East,Product B,14.51,10,145.06
2023-07-08,West,Product B,15.63,20,312.54
2023-09-25,South,Product C,28.8,12,345.58
2024-08-18,South,Product A,20.13,5,100.64
2023-04-24,West,Product B,15.55,49,761.75
2024-08-02,East,Product B,17.52,37,648.23
2024-06-22,East,Product B,14.32,38,544.1
2023-10-24,East,Product C,31.65,13,411.47
2024-09-08,South,Product E,48.85,21,1025.81
2024-06-09,South,Product E,100.58,15,1508.73
2024-09-01,West,Product D,16.81,21,353.1
2023-08-15,North,Product C,28.66,23,659.11
2024-03-30,East,Product D,22.29,30,668.59
2023-05-28,South,Product D,21.13,23,486.01
2023-10-08,North,Product D,19.27,49,944.26
2023-09-01,West,Product B,12.1,1,12.1
2024-08-20,East,Product A,23.67,32,757.47
2024-05-18,West,Product E,52.98,22,1165.64
2023-08-16,East,Product A,22.29,17,378.93
2024-06-11,South,Product C,39.24,5,196.19
2023-12-18,North,Product A,25.77,39,1004.97
2024-03-15,West,Product C,92.37,38,3510.22
2023-12-12,North,Product B,15.21,42,639.0
2024-08-20,West,Product A,21.06,13,273.74
2024-02-06,North,Product D,14.45,26,375.81
2023-05-19,South,Product C,34.56,22,760.28
2024-03-08,West,Product D,23.44,28,656.21
2024-08-25,East,Product A,22.03,17,374.48
2023-10-10,West,Product A,26.24,36,944.47
2024-07-08,North,Product C,40.88,21,858.53
2024-06-24,South,Product E,14.39,28,403.0
2024-07-05,North,Product D,17.17,46,789.95
2023-10-07,South,Product A,23.01,20,460.14
2024-09-01,South,Product D,17.33,15,260.01
2023-09-30,East,Product E,48.18,34,1637.99
2023-11-26,South,Product A,75.67,18,1362.02
2024-05-23,East,Product D,18.42,2,36.84
2023-08-16,South,Product C,27.49,18,494.84
2024-08-24,South,Product D,21.4,7,149.78
2023-09-21,South,Product C,11.96,47,562.15
2024-10-24,East,Product B,17.96,8,143.68
2023-11-24,North,Product A,33.75,16,539.94
2024-01-11,North,Product B,10.83,23,249.1
2024-07-04,South,Product A,19.37,47,910.45
2023-06-10,South,Product D,17.81,5,89.04
2024-04-17,East,Product D,20.58,41,843.96
2024-04-16,North,Product B,12.62,3,37.85
2024-01-28,South,Product D,18.05,50,902.44
2024-07-20,West,Product D,20.19,20,403.72
2024-06-22,South,Product B,15.82,45,712.12
2024-04-13,North,Product D,17.42,21,365.78
2023-03-08,North,Product D,23.17,45,1042.86
2024-12-16,North,Product D,21.69,7,151.86
2024-05-11,South,Product B,12.75,12,153.03
2024-05-27,West,Product C,32.33,31,1002.33
2024-09-28,North,Product C,39.12,50,1956.24
2023-08-11,West,Product E,52.0,11,571.98
2024-08-06,South,Product D,21.88,6,131.27
2023-04-23,East,Product E,54.96,19,1044.33
2024-09-16,North,Product C,40.17,33,1325.55
2023-06-18,East,Product C,43.52,1,43.52
2024-08-23,South,Product A,25.67,27,693.1
2024-04-18,North,Product E,42.82,41,1755.44
2024-04-30,North,Product C,33.8,29,980.31
2023-03-10,West,Product D,17.2,32,550.36
2024-05-11,South,Product A,19.66,13,255.62
2024-01-21,West,Product E,44.88,22,987.31
2023-05-08,North,Product D,23.9,43,1027.63
2023-02-22,North,Product E,39.45,33,1301.76
2024-06-25,East,Product C,38.66,46,1778.54
2024-12-16,West,Product B,19.89,47,934.68
2024-12-15,West,Product B,17.66,38,671.13
2023-03-27,West,Product B,13.6,7,95.22
2024-10-10,North,Product C,37.42,19,711.06
2023-03-06,South,Product E,50.79,18,914.28
2024-02-11,North,Product A,25.55,33,843.05
2023-05-20,West,Product B,12.2,28,341.53
2024-04-07,West,Product D,17.52,14,245.22
2024-08-27,South,Product A,11.62,17,197.57
2024-10-29,North,Product D,23.43,45,1054.5
2024-08-30,North,Product A,24.79,3,74.36
2023-06-20,East,Product E,49.57,20,991.42
2023-03-30,South,Product E,44.39,37,1642.34
2023-10-26,West,Product E,40.09,31,1242.86
2024-01-28,West,Product A,24.42,20,488.49
2023-03-04,South,Product C,28.43,45,1279.22
2024-03-15,South,Product A,26.77,1,26.77
2024-12-14,West,Product D,26.47,48,1270.48
2023-08-27,East,Product E,43.43,27,1172.55
2024-09-10,West,Product A,77.06,44,3390.83
2024-08-02,West,Product B,14.27,44,627.78
2023-02-17,South,Product C,35.22,11,387.37
2024-09-20,West,Product B,15.06,33,497.14
2024-02-26,West,Product E,39.55,48,1898.58
2023-06-07,West,Product B,15.27,27,412.32
2023-05-20,North,Product B,15.04,34,511.4
2024-05-30,West,Product E,15.48,31,479.75
2024-05-24,West,Product D,19.67,36,707.95
2024-01-01,West,Product D,16.02,50,801.16
2023-06-30,South,Product E,47.83,2,95.67
2024-09-30,South,Product E,34.55,24,829.28
2023-05-24,North,Product B,16.99,49,832.28
2024-03-15,West,Product D,19.46,27,525.39
2024-10-12,South,Product A,27.63,35,967.03
2024-02-03,West,Product A,20.89,44,919.13
2023-05-04,West,Product B,14.73,37,544.9
2024-02-23,West,Product C,28.36,35,992.6
2024-02-22,North,Product B,13.48,18,242.58
2024-10-11,North,Product E,46.35,31,1436.85
2023-02-28,North,Product C,33.94,17,576.9
2024-11-21,West,Product C,34.48,15,517.14
2023-05-06,North,Product A,25.35,25,633.85
2023-02-12,South,Product B,14.94,32,478.05
2023-06-18,North,Product A,29.77,45,1339.57
2024-08-13,West,Product E,41.32,15,619.82
2024-01-07,East,Product D,23.34,26,606.96
2023-11-01,South,Product B,16.08,7,112.59
2024-04-25,South,Product D,15.74,3,47.23
2024-02-20,South,Product B,13.72,25,342.94
2024-05-17,North,Product A,28.49,23,655.32
2023-03-13,East,Product E,43.8,16,700.77
2024-06-01,West,Product B,14.46,45,650.71
2024-07-25,South,Product C,30.78,4,123.12
2023-12-31,West,Product B,16.04,39,625.46
2023-05-16,North,Product E,53.66,37,1985.51
2024-08-19,North,Product B,17.08,30,512.37
2023-08-21,West,Product E,47.94,2,95.88
2024-08-28,North,Product C,39.82,26,1035.33
2024-01-11,East,Product A,19.87,30,596.12
2024-04-05,East,Product B,16.03,32,513.03
2024-12-28,North,Product D,16.29,14,228.13
2023-01-01,South,Product C,24.13,48,1158.07
2024-10-04,North,Product A,27.5,25,687.38
2024-06-07,West,Product B,17.39,20,347.86
2023-05-31,West,Product E,51.78,20,1035.56
2024-02-24,East,Product A,26.48,17,450.23
2023-04-16,North,Product A,28.93,25,723.21
2024-10-23,West,Product B,16.98,12,203.72
2024-09-23,West,Product D,16.62,28,465.47
2024-12-15,North,Product C,47.4,27,1279.68
2023-02-14,South,Product C,17.82,22,392.01
2023-08-21,South,Product D,17.26,11,189.84
2023-06-25,West,Product D,17.32,30,519.53
2024-12-11,West,Product A,32.26,18,580.75
2024-06-09,West,Product A,25.06,44,1102.74
2024-04-16,West,Product C,37.29,7,261.03
2024-01-08,West,Product A,8.27,21,173.76
2024-07-04,South,Product D,22.21,19,421.99
2023-10-17,North,Product C,29.65,7,207.58
2023-03-04,West,Product C,34.23,35,1198.06
2024-03-31,East,Product B,14.39,12,172.67
2023-02-15,West,Product E,32.61,22,717.34
2024-03-02,East,Product D,23.65,27,638.61
2024-05-09,West,Product B,14.19,31,439.84
2023-08-08,West,Product B,17.99,24,431.64
2023-04-29,West,Product E,41.31,45,1858.87
2023-06-05,West,Product D,24.0,25,599.9
2023-01-04,East,Product A,24.66,10,246.56
2023-05-15,South,Product A,22.03,10,220.34
2023-11-14,East,Product E,29.67,27,800.97
2023-04-27,West,Product C,28.33,30,849.8
2023-05-16,West,Product A,23.15,45,1041.58
2024-01-31,South,Product C,24.73,25,618.36
2023-08-09,South,Product D,20.47,27,552.62
2023-02-17,South,Product B,12.72,45,572.47
2023-05-24,South,Product A,28.19,23,648.33
2024-11-08,South,Product E,48.98,44,2155.1
2024-07-18,East,Product C,31.53,18,567.52
2024-05-22,North,Product E,50.93,2,101.85
2024-07-03,North,Product C,34.36,17,584.14
2023-08-26,West,Product A,24.16,22,531.42
2023-07-14,East,Product C,43.19,49,2116.49
2023-10-05,South,Product E,49.99,25,1249.78
2024-06-17,South,Product B,13.81,42,579.86
2024-09-07,South,Product E,35.79,48,1717.86
2023-03-27,East,Product D,19.28,42,809.92
2023-08-17,West,Product B,16.27,27,439.4
2024-10-05,South,Product B,43.87,10,438.73
2023-03-22,South,Product B,12.41,28,347.53
2024-02-07,North,Product D,17.61,43,757.18
2024-12-07,North,Product C,42.32,15,634.85
2024-10-24,West,Product B,13.37,24,320.85
2023-07-06,North,Product A,29.39,7,205.74
2023-07-06,West,Product E,47.95,49,2349.56
2023-07-14,West,Product E,45.16,50,2257.88
2024-02-16,West,Product A,26.51,48,1272.31
2023-12-10,West,Product E,54.39,43,2338.96
2024-12-09,East,Product B,20.33,16,325.25
2024-01-27,East,Product C,31.01,2,62.02
2024-04-08,East,Product C,40.89,17,695.07
2024-09-07,South,Product D,21.22,42,891.17
2023-03-13,East,Product A,25.01,3,75.02
2023-06-01,East,Product A,53.5,11,588.54
2023-11-26,East,Product E,66.02,37,2442.68
2023-10-11,North,Product B,35.4,46,1628.57
2023-03-10,South,Product E,41.19,13,535.42
2023-06-11,South,Product E,40.79,43,1753.83
2024-07-16,South,Product C,33.04,8,264.32
2023-08-16,South,Product D,18.89,39,736.77
2023-05-05,East,Product C,43.17,3,129.51
2023-12-13,East,Product D,26.38,21,553.96
2023-08-24,North,Product B,14.17,2,28.34
2024-10-02,East,Product A,31.48,28,881.38
2024-02-18,West,Product D,19.96,45,898.03
2024-01-03,West,Product C,26.2,12,314.41
2023-11-22,West,Product D,25.04,49,1227.16
2023-12-02,South,Product D,10.99,29,318.67
2023-04-08,North,Product E,40.88,17,695.02
2023-05-03,West,Product C,37.28,46,1715.0
2024-09-06,East,Product B,17.63,34,599.35
2024-03-22,East,Product E,39.86,7,279.04
2024-09-11,South,Product D,17.61,34,598.75
2023-04-07,East,Product D,24.08,21,505.61
2023-01-23,South,Product B,10.39,34,353.29
2024-10-11,South,Product B,16.62,28,465.25
2023-04-10,East,Product A,23.68,27,639.27
2023-02-06,West,Product C,36.81,39,1435.77
2023-04-24,East,Product D,21.39,7,149.72
2024-03-01,South,Product C,28.24,24,677.76
2024-08-14,South,Product B,15.44,35,540.32
2023-03-12,North,Product D,20.97,26,545.22
2024-12-07,North,Product B,15.07,37,557.65
2024-10-05,East,Product D,25.11,13,326.48
2023-12-31,North,Product E,50.08,26,1302.21
2023-10-22,North,Product E,51.99,29,1507.7
2023-08-23,East,Product D,18.86,6,113.17
2024-02-07,North,Product A,18.6,22,409.09
2023-11-15,North,Product B,39.93,48,1916.75
2023-04-21,East,Product B,17.97,48,862.66
2023-07-01,East,Product D,24.49,10,244.93
2023-01-09,West,Product D,17.84,42,749.12
2024-07-18,South,Product A,23.91,17,406.54
2023-02-08,East,Product E,36.08,30,1082.25
2024-03-08,North,Product A,27.66,13,359.55
2023-09-05,East,Product D,17.81,8,142.44
2024-07-02,West,Product D,19.81,19,376.42
2024-11-28,North,Product B,20.5,9,184.47
2023-01-17,East,Product A,20.71,9,186.43
2023-08-02,South,Product A,20.71,9,186.4
2023-12-23,West,Product C,44.18,12,530.12
2023-07-12,North,Product A,65.62,3,196.86
2023-07-16,North,Product C,31.83,46,1464.06
2024-01-16,West,Product B,12.2,9,109.79
2023-01-07,West,Product D,16.61,16,265.82
2023-01-20,West,Product A,22.9,14,320.57
2024-05-09,South,Product A,26.01,34,884.46
2024-08-03,East,Product D,19.78,2,39.55
2024-05-17,West,Product D,16.13,31,500.15
2023-02-01,North,Product D,19.48,38,740.05
2023-09-29,East,Product B,14.98,10,149.83
2023-10-14,West,Product B,13.51,15,202.65
2023-04-23,South,Product D,21.89,32,700.6
2024-03-08,North,Product A,24.8,1,24.8
2024-07-03,West,Product E,53.57,12,642.88
2024-09-06,West,Product B,13.88,39,541.45
2024-12-07,East,Product A,32.85,36,1182.65
2023-03-31,South,Product D,8.49,49,415.93
2024-05-31,South,Product B,15.67,22,344.77
2024-09-25,North,Product E,37.26,27,1006.15
2024-01-01,West,Product E,128.01,11,1408.08
2024-07-11,East,Product E,47.82,39,1865.13
2023-03-10,South,Product E,44.46,24,1066.99
2023-07-23,East,Product C,41.49,5,207.43
2023-11-07,South,Product C,36.48,50,1824.16
2023-02-21,East,Product D,16.41,43,705.82
2024-12-01,North,Product C,34.62,39,1350.31
2023-11-02,North,Product C,42.19,13,548.51
2024-05-21,West,Product E,40.34,41,1654.04
2024-10-24,South,Product B,12.31,31,381.65
2024-05-04,North,Product B,14.66,40,586.56
2024-03-21,East,Product A,31.09,21,652.85
2023-05-20,East,Product A,32.28,10,322.78
2023-02-06,East,Product C,30.24,15,453.6
2023-03-30,South,Product A,27.22,34,925.36
2024-06-27,West,Product D,21.12,3,63.35
2023-03-03,West,Product B,15.8,10,157.97
2023-09-06,West,Product A,28.1,45,1264.66
2023-10-07,South,Product E,40.66,21,853.81
2024-03-10,East,Product D,22.47,41,921.25
2024-10-03,West,Product B,16.33,14,228.68
2024-06-17,West,Product A,20.07,38,762.84
2024-04-07,East,Product A,27.59,46,1268.95
2024-05-15,North,Product D,18.38,18,330.86
2023-12-02,West,Product D,18.77,38,713.16
2024-11-11,North,Product D,19.55,18,351.95
2024-01-14,South,Product B,13.94,49,682.88
2023-06-01,West,Product D,16.61,27,448.55
2024-04-21,West,Product D,18.18,42,763.44
2023-11-08,East,Product A,29.46,40,1178.23
2024-02-09,North,Product C,31.0,15,464.94
2023-11-11,West,Product A,25.14,46,1156.31
2024-03-22,North,Product B,7.23,25,180.64
2024-12-16,North,Product A,30.92,14,432.93
2023-08-13,West,Product B,12.87,15,192.98
2023-04-02,South,Product B,13.72,23,315.56
2023-08-15,North,Product E,39.94,14,559.22
2024-08-28,North,Product D,16.58,26,431.02
2024-04-24,North,Product B,13.63,31,422.55
2023-12-10,West,Product B,16.99,27,458.79
2023-06-10,South,Product E,44.16,48,2119.45
2023-11-04,West,Product E,53.24,17,905.06
2024-08-14,West,Product A,25.44,23,585.11
2024-02-05,West,Product D,17.08,4,68.32
2024-06-10,North,Product E,47.98,41,1967.16
2024-09-26,South,Product C,104.07,28,2913.95
2024-12-22,North,Product D,24.85,19,472.09
2023-10-16,North,Product E,37.22,37,1377.02
2023-06-21,East,Product E,57.18,27,1543.79
2024-07-28,South,Product A,27.27,39,1063.48
2024-08-22,North,Product C,41.35,14,578.92
2024-07-18,West,Product B,17.32,50,866.13
2024-08-26,West,Product C,35.52,47,1669.6
2024-05-03,East,Product A,29.58,34,1005.63
2023-02-26,South,Product B,10.6,34,360.25
2024-09-09,East,Product B,18.15,32,580.86
2023-06-18,East,Product E,51.56,40,2062.33
2023-04-08,West,Product B,12.61,30,378.34
2023-05-24,West,Product E,49.28,43,2119.16
2023-08-05,East,Product A,22.03,2,44.06
2024-05-17,South,Product D,20.54,50,1027.08
2023-05-25,East,Product C,45.54,16,728.7
2023-05-26,West,Product E,44.0,14,615.93
2023-01-03,West,Product C,31.74,15,476.04
2024-05-24,West,Product B,13.51,18,243.14
2023-11-12,South,Product C,38.96,41,1597.21
2023-09-05,South,Product E,49.08,43,2110.39
2024-08-01,South,Product E,36.74,4,146.96
2023-10-20,South,Product B,13.55,43,582.79
2024-08-18,South,Product D,19.28,32,616.87
2023-03-15,West,Product B,17.92,17,304.56
2024-11-09,West,Product C,33.41,15,501.08
2024-12-17,South,Product B,17.22,43,740.54
2023-07-27,East,Product C,41.83,47,1965.83
2023-04-28,South,Product E,50.25,3,150.75
2023-02-20,South,Product D,16.4,9,147.58
2023-09-07,East,Product C,42.28,3,126.83
2023-03-22,East,Product B,6.38,43,274.47
2024-05-15,South,Product A,25.32,47,1190.1
2024-03-17,East,Product D,24.01,37,888.39
2023-06-29,East,Product D,21.93,28,613.9
2024-12-06,West,Product D,26.53,17,451.09
2023-08-12,North,Product B,14.08,8,112.65
2024-07-28,West,Product C,28.44,46,1308.17
2023-03-07,South,Product B,13.51,2,27.03
2024-08-22,North,Product C,41.49,43,1783.94
2024-04-19,West,Product D,19.24,43,827.43
2024-04-24,West,Product D,23.59,15,353.82
2024-08-03,South,Product E,42.95,47,2018.87
2024-03-11,South,Product E,40.59,32,1299.02
2023-07-30,East,Product C,42.28,34,1437.44
2023-02-23,East,Product C,33.87,23,778.98
2023-09-03,South,Product A,25.19,43,1083.08
2024-03-26,North,Product C,38.32,6,229.89
2024-08-06,South,Product E,39.64,23,911.8
2024-09-20,South,Product C,83.58,31,2591.06
2023-04-03,South,Product B,16.03,30,480.95
2023-06-23,South,Product B,15.1,29,437.8
2023-12-05,North,Product D,21.26,29,616.62
2023-05-26,South,Product D,17.71,34,602.12
2023-10-07,East,Product A,27.62,30,828.72
2023-10-01,East,Product D,24.66,38,936.99
2023-03-26,East,Product B,15.25,20,305.0
2023-07-03,East,Product B,16.01,8,128.05
2024-09-03,East,Product C,36.58,36,1316.91
2024-01-25,East,Product B,13.45,45,605.47
2024-08-02,North,Product E,41.46,9,373.17
2024-07-26,North,Product A,20.36,1,20.36
2024-06-24,South,Product A,23.28,12,279.34
2024-11-10,West,Product E,46.86,39,1827.61
2023-08-14,North,Product B,13.32,8,106.55
2024-10-04,East,Product B,13.3,37,491.95
2024-08-08,North,Product A,27.92,26,725.93
2023-07-31,South,Product E,49.93,25,1248.13
2024-07-12,South,Product E,37.44,12,449.23
2024-12-13,South,Product D,24.21,24,581.14
2023-08-13,North,Product B,7.69,15,115.28
2023-10-05,South,Product E,39.2,36,1411.35
2024-12-08,West,Product D,20.42,3,61.27
2023-08-31,West,Product E,47.25,20,945.03
2023-08-28,East,Product E,50.59,3,151.78
2024-01-18,North,Product E,33.91,27,915.58
2023-07-12,East,Product B,15.34,27,414.11
2024-10-05,North,Product E,38.46,2,76.92
2024-11-27,East,Product C,37.13,29,1076.86
2023-09-06,West,Product C,31.62,31,980.1
2023-04-14,South,Product B,13.48,24,323.45
2024-07-31,East,Product A,26.78,20,535.5
2023-12-15,East,Product B,15.96,37,590.51
2023-03-13,West,Product C,31.33,38,1190.66
2024-06-30,North,Product D,21.0,17,357.0
2023-12-16,East,Product E,67.58,47,3176.34
2023-05-15,North,Product B,17.92,48,860.16
2023-03-22,North,Product B,15.04,23,345.83
2024-04-18,South,Product C,34.3,28,960.45
2024-05-01,East,Product E,58.38,17,992.5
2023-10-03,West,Product E,36.5,43,1569.48
2023-06-20,West,Product C,31.35,27,846.58
2023-01-16,North,Product D,16.37,8,130.96
2024-05-25,East,Product C,36.25,14,507.47
2024-11-04,West,Product C,40.56,25,1014.07
2023-09-24,East,Product C,32.9,41,1348.93
2024-10-16,South,Product C,28.78,22,633.15
2023-02-10,North,Product D,17.13,39,667.88
2024-04-03,West,Product B,14.35,42,602.78
2023-02-10,West,Product E,34.84,8,278.73
2024-05-11,West,Product B,15.7,43,675.26
2023-05-14,East,Product C,30.84,15,462.63
2023-07-17,South,Product A,21.46,45,965.51
2023-08-23,North,Product D,16.33,18,293.96
2023-12-22,East,Product C,44.93,27,1213.16
2023-05-26,East,Product A,27.82,15,417.34
2024-12-12,South,Product B,5.4,18,97.15
2024-05-05,South,Product C,38.99,20,779.86
2024-10-27,East,Product C,35.25,43,1515.9
2024-04-21,South,Product D,21.03,6,126.17
2023-11-29,South,Product E,57.67,47,2710.27
2023-07-26,North,Product C,37.99,1,37.99
2024-02-29,North,Product C,77.2,14,1080.81
2023-07-01,East,Product E,57.27,35,2004.59
2024-04-17,West,Product B,15.41,8,123.25
2024-01-08,West,Product B,11.67,24,280.13
2024-09-07,West,Product C,31.73,36,1142.25
2024-07-23,East,Product A,32.72,33,1079.77
2023-01-12,West,Product E,40.89,35,1431.16
2023-12-20,South,Product B,16.07,30,482.07
2023-01-23,East,Product E,47.16,15,707.33
2023-04-13,East,Product D,19.8,45,890.97
2023-07-11,East,Product E,55.74,38,2118.12
2024-03-01,West,Product D,18.57,47,873.0
2023-02-19,West,Product C,29.15,48,1399.19
2023-04-16,North,Product B,17.28,24,414.63
2024-02-03,East,Product D,47.13,15,706.91
2023-04-04,South,Product E,50.42,45,2268.87
2024-09-28,North,Product B,13.73,48,658.86
2024-08-07,North,Product B,15.89,22,349.5
2024-02-23,North,Product A,21.97,34,747.12
2024-12-02,East,Product E,59.24,33,1955.06
2024-06-19,East,Product A,31.45,16,503.22
2023-09-20,North,Product E,50.82,40,2032.86
2024-12-31,West,Product A,30.71,43,1320.74
2023-03-06,North,Product A,21.85,43,939.62
2024-02-29,East,Product A,24.61,45,1107.49
2023-11-07,South,Product C,38.82,15,582.31
2023-01-20,South,Product B,14.8,10,148.05
2023-02-17,East,Product E,53.01,28,1484.24
2024-10-26,West,Product C,36.57,21,768.06
2024-04-26,East,Product A,28.71,14,402.0
2024-08-13,East,Product B,17.82,37,659.38
2024-03-15,South,Product C,38.97,32,1246.95
2024-03-04,North,Product B,12.34,33,407.06
2023-06-30,South,Product C,31.98,16,511.63
2024-05-14,West,Product B,17.67,45,794.99
2023-04-06,West,Product A,28.46,19,540.72
2024-07-29,East,Product E,43.15,23,992.45
2023-04-13,North,Product D,20.32,4,81.26
2024-02-11,North,Product A,24.82,46,1141.95
2024-10-23,West,Product A,25.75,38,978.59
2023-07-13,South,Product D,18.33,33,604.84
2024-07-31,West,Product C,38.49,23,885.36
2023-12-08,North,Product C,33.08,32,1058.47
2024-07-19,East,Product C,41.24,45,1855.58
2024-06-11,West,Product C,37.13,33,1225.14
2024-10-28,East,Product A,23.47,37,868.53
2024-02-25,West,Product E,32.89,14,460.47
2023-07-09,South,Product C,39.75,41,1629.61
2023-12-23,South,Product E,45.21,8,361.67
2024-01-04,West,Product C,29.53,19,561.12
2023-08-27,East,Product A,24.96,40,998.34
2024-10-23,East,Product A,24.84,46,1142.78
2024-04-30,North,Product D,18.76,22,412.71
2023-11-26,West,Product E,51.77,28,1449.51
2024-04-12,North,Product E,43.94,42,1845.35
2023-02-27,East,Product A,26.52,2,53.04
2023-03-21,West,Product E,47.96,48,2302.27
2023-08-14,East,Product A,24.79,12,297.43
